filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,line_range,more_info
app/articles/management/commands/create_random_article.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,31,34,[31],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random
app/articles/tests/test_articles.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,37,30,[37],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random
app/articles/tests/test_articles.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,99,4,[99],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html
app/articles/tests/test_articles.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,115,4,[115],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html
app/authentication/queries.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,23,12,[23],https://bandit.readthedocs.io/en/1.7.4/plugins/b102_exec_used.html
app/authentication/queries.py,start_process_with_no_shell,B606,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/78.html,Starting a process without a shell.,26,16,[26],https://bandit.readthedocs.io/en/1.7.4/plugins/b606_start_process_with_no_shell.html
app/authentication/queries.py,start_process_with_no_shell,B606,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/78.html,Starting a process without a shell.,28,12,[28],https://bandit.readthedocs.io/en/1.7.4/plugins/b606_start_process_with_no_shell.html
app/authentication/queries.py,start_process_with_partial_path,B607,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Starting a process with a partial executable path,28,12,[28],https://bandit.readthedocs.io/en/1.7.4/plugins/b607_start_process_with_partial_path.html
app/authentication/tests/test_users.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,79,4,[79],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html
app/authentication/tests/test_users.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,138,4,[138],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html
